Query ID: 1 ; Query: coronavirus origin
Top 10 -> Document ID: d2knbzhl ; Score: 0.6403111805355777
Top 11 -> Document ID: 0y8lfjkx ; Score: 0.6385993434467009
Top 12 -> Document ID: s9mqv4lo ; Score: 0.6362284813449419
Top 13 -> Document ID: 81knkem4 ; Score: 0.6351424445234815
Top 14 -> Document ID: 5g2hnk1x ; Score: 0.6274671689060308
Top 15 -> Document ID: 7qatfxoj ; Score: 0.6133105911801012
Top 16 -> Document ID: gnxbfcod ; Score: 0.6012284038262129
Top 17 -> Document ID: ssa59gng ; Score: 0.5922512263548344
Top 18 -> Document ID: knv0zd26 ; Score: 0.5899032438224588
Top 19 -> Document ID: hrb0shhg ; Score: 0.5882841627407053
Top 20 -> Document ID: 08ds967z ; Score: 0.5873353808356099
Top 21 -> Document ID: 9ai2bmqp ; Score: 0.5861689137115278
Top 22 -> Document ID: m7eonmga ; Score: 0.585765652652922
Top 23 -> Document ID: kwq2y3il ; Score: 0.5856070765791072
Top 24 -> Document ID: jp8y1owf ; Score: 0.5841688880854716
Top 25 -> Document ID: v08cs51n ; Score: 0.58274243765313
Top 26 -> Document ID: yo5ojr0s ; Score: 0.5811940250931468
Top 27 -> Document ID: 57zdu3o2 ; Score: 0.5741660439474348
Top 28 -> Document ID: xdg5mkum ; Score: 0.5741544950335203
Top 29 -> Document ID: y4n1gqeb ; Score: 0.5737428518570941
Top 30 -> Document ID: a2x1hvkk ; Score: 0.5731335652768873
Top 31 -> Document ID: iusv19qd ; Score: 0.5722497742547156
Top 32 -> Document ID: 0dac26xk ; Score: 0.5721700747956293
Top 33 -> Document ID: 5iw42yjq ; Score: 0.5699280666234454
Top 34 -> Document ID: t1iuhx3a ; Score: 0.5676365123632254
Top 35 -> Document ID: ne5r4d4b ; Score: 0.567047697748518
Top 36 -> Document ID: qp13h0un ; Score: 0.5639495791613593
Top 37 -> Document ID: i6um5iu2 ; Score: 0.5637234574777965
Top 38 -> Document ID: t1qbg7bj ; Score: 0.5615623902609193
Top 39 -> Document ID: 7ve9gs2a ; Score: 0.5614259058072004
Top 40 -> Document ID: 79v0hdi9 ; Score: 0.5599748306213125
Top 41 -> Document ID: xuiswu2l ; Score: 0.5581232389863005
Top 42 -> Document ID: stnjl8f8 ; Score: 0.5576674289134314
Top 43 -> Document ID: gbyyehbu ; Score: 0.5549360321676959
Top 44 -> Document ID: u1claajf ; Score: 0.5543573224729992
Top 45 -> Document ID: paikguqy ; Score: 0.5523678874448332
Top 46 -> Document ID: fjsrg656 ; Score: 0.5501662589158023
Top 47 -> Document ID: dopa8hxy ; Score: 0.5501007939845042
Top 48 -> Document ID: gl65i3s0 ; Score: 0.5499824433593704
Top 49 -> Document ID: klesewbt ; Score: 0.5491297747288085
Top 50 -> Document ID: utn21ce1 ; Score: 0.5485673158325786
Query ID: 5 ; Query: animal models of COVID-19
Top 1 -> Document ID: uurvoa1o ; Score: 0.8457297136022358
Top 2 -> Document ID: jlmuo37x ; Score: 0.7738637404088916
Top 3 -> Document ID: lmkfxme5 ; Score: 0.7566118449373024
Top 4 -> Document ID: txt4jiy8 ; Score: 0.7327671994614657
Top 5 -> Document ID: eva0soja ; Score: 0.6869431025423491
Top 6 -> Document ID: uak8xgos ; Score: 0.6841125557998023
Top 7 -> Document ID: okvu49y3 ; Score: 0.6799851519228763
Top 8 -> Document ID: kbulgxoa ; Score: 0.6743971146344983
Top 9 -> Document ID: yp9ofhi8 ; Score: 0.6709203257998821
Top 10 -> Document ID: 95ka0p8n ; Score: 0.6679501656273715
Top 11 -> Document ID: 264wl0vm ; Score: 0.6331221096449098
Top 12 -> Document ID: 1ofiuwg4 ; Score: 0.629320498160851
Top 13 -> Document ID: unmnuxa4 ; Score: 0.6260678866845292
Top 14 -> Document ID: 445ko05a ; Score: 0.6206068361020128
Top 15 -> Document ID: zpi7uis1 ; Score: 0.6106537405876988
Top 16 -> Document ID: vk4lt83x ; Score: 0.6099357260281689
Top 17 -> Document ID: xhdub3br ; Score: 0.6090790197932152
Top 18 -> Document ID: dkqxfqk6 ; Score: 0.6085331761510766
Top 19 -> Document ID: v5sya5to ; Score: 0.6057131765568247
Top 20 -> Document ID: 6nu7rob8 ; Score: 0.6049841806377386
Top 21 -> Document ID: pm6ta0qy ; Score: 0.6038648618291491
Top 22 -> Document ID: awitk3se ; Score: 0.6036400132959356
Top 23 -> Document ID: jf36as70 ; Score: 0.5977590142173559
Top 24 -> Document ID: i72nax2p ; Score: 0.5916599348264618
Top 25 -> Document ID: vjdhcbht ; Score: 0.5886810718312021
Top 26 -> Document ID: kv1zyy58 ; Score: 0.5853470053334482
Top 27 -> Document ID: ow0t4mcl ; Score: 0.5814507523192144
Top 28 -> Document ID: clbut1ot ; Score: 0.5775700799184861
Top 29 -> Document ID: p711pmu1 ; Score: 0.5770399617891466
Top 30 -> Document ID: zaro1a2m ; Score: 0.5762779738693138
Top 31 -> Document ID: zqsy6r4i ; Score: 0.5659114092172983
Top 32 -> Document ID: 0q4xgkaa ; Score: 0.5646314904556287
Top 33 -> Document ID: 9032hh5c ; Score: 0.5621890777097238
Top 34 -> Document ID: 2b420fz9 ; Score: 0.5611276835609794
Top 35 -> Document ID: 3jr8a2p7 ; Score: 0.5586926040635354
Top 36 -> Document ID: 284rthek ; Score: 0.5564476635275744
Top 37 -> Document ID: 37dadupn ; Score: 0.5561718115728862
Top 38 -> Document ID: qpt5dj8p ; Score: 0.5550053610448978
Top 39 -> Document ID: zy8qjaai ; Score: 0.5522503554999265
Top 40 -> Document ID: fhn8psco ; Score: 0.5493499724932125
Top 41 -> Document ID: 2g5uxglk ; Score: 0.5455013107446018
Top 42 -> Document ID: wx46bpwm ; Score: 0.5434958340390366
Top 43 -> Document ID: odc5yx7g ; Score: 0.5434311065571232
Top 44 -> Document ID: ry3m6x8c ; Score: 0.5345158949217259
Top 45 -> Document ID: aa08u19x ; Score: 0.5323152361043051
Top 46 -> Document ID: u6b8iwr0 ; Score: 0.5310345093994429
Top 47 -> Document ID: 7h1wg0oa ; Score: 0.5307106647039637
Top 48 -> Document ID: x12cqydo ; Score: 0.5303179854962867
Top 49 -> Document ID: jadzias9 ; Score: 0.5298457357153415
Top 50 -> Document ID: f3ikyl9d ; Score: 0.5291152746827645
Query ID: 6 ; Query: coronavirus test rapid testing
Top 1 -> Document ID: i7soyabu ; Score: 0.5576587676201512
Top 2 -> Document ID: 0y8lfjkx ; Score: 0.5364900131808712
Top 3 -> Document ID: ehht4sff ; Score: 0.5360493756644744
Top 4 -> Document ID: zij2wbzs ; Score: 0.5289466651111653
Top 5 -> Document ID: 2bfazvwo ; Score: 0.47936836980866643
Top 6 -> Document ID: j0z20rx5 ; Score: 0.47460765384180115
Top 7 -> Document ID: i7qltp3q ; Score: 0.4648124844062894
Top 8 -> Document ID: i3t1cbv9 ; Score: 0.4645278222628645
Top 9 -> Document ID: zkz55pmg ; Score: 0.45656193641583487
Top 10 -> Document ID: 6kpgt70s ; Score: 0.45613331522292777
Top 11 -> Document ID: k47yk637 ; Score: 0.4544229881820629
Top 12 -> Document ID: oc0edgd2 ; Score: 0.45418601448854906
Top 13 -> Document ID: ekc1tkyt ; Score: 0.4486191480149677
Top 14 -> Document ID: mnshxou5 ; Score: 0.448608863408192
Top 15 -> Document ID: rbblg4pu ; Score: 0.4474251099693733
Top 16 -> Document ID: ovzxizhb ; Score: 0.446679163477362
Top 17 -> Document ID: gsr8crk9 ; Score: 0.4444506531972465
Top 18 -> Document ID: cfahqp8w ; Score: 0.44171195184249534
Top 19 -> Document ID: lxjhz079 ; Score: 0.43034198598209633
Top 20 -> Document ID: r9gtw3cl ; Score: 0.42694818724699957
Top 21 -> Document ID: m41o61ki ; Score: 0.4223716858380313
Top 22 -> Document ID: ozmpp974 ; Score: 0.4195575555716902
Top 23 -> Document ID: 79v0hdi9 ; Score: 0.41833168769462076
Top 24 -> Document ID: dopa8hxy ; Score: 0.4166853410766618
Top 25 -> Document ID: udd26574 ; Score: 0.4161542846578858
Top 26 -> Document ID: ifdjyp5b ; Score: 0.41450200975598894
Top 27 -> Document ID: r45ei71o ; Score: 0.4142379748877164
Top 28 -> Document ID: a9clzlzb ; Score: 0.4104505849250789
Top 29 -> Document ID: 6mef38eo ; Score: 0.40744263456110574
Top 30 -> Document ID: gbyyehbu ; Score: 0.405775275137247
Top 31 -> Document ID: jhn26qt9 ; Score: 0.4053781770592906
Top 32 -> Document ID: 960ycat0 ; Score: 0.40350866609102404
Top 33 -> Document ID: apsj571t ; Score: 0.4022570728434185
Top 34 -> Document ID: jsbdmnx5 ; Score: 0.3991229042493693
Top 35 -> Document ID: etpf0xk1 ; Score: 0.3957556985516664
Top 36 -> Document ID: pv6vnt0m ; Score: 0.39479224423508713
Top 37 -> Document ID: 5tb29n9s ; Score: 0.39433571100226816
Top 38 -> Document ID: j36vajdi ; Score: 0.3918764986771686
Top 39 -> Document ID: pzi2r37u ; Score: 0.3902474578806274
Top 40 -> Document ID: fl9lur4h ; Score: 0.38900449918293567
Top 41 -> Document ID: lwpzlhw2 ; Score: 0.3874055647512098
Top 42 -> Document ID: ybauyaed ; Score: 0.386963936863786
Top 43 -> Document ID: cfbs29qo ; Score: 0.38526903802193935
Top 44 -> Document ID: x6bryq9d ; Score: 0.38522081572919553
Top 45 -> Document ID: dfjh7qyh ; Score: 0.38514731109303946
Top 46 -> Document ID: sprvon1t ; Score: 0.38455425904174945
Top 47 -> Document ID: 1gt0n6uo ; Score: 0.3833113417887898
Top 48 -> Document ID: 06boh550 ; Score: 0.38294736704260157
Top 49 -> Document ID: aeogp8c7 ; Score: 0.3827357554157105
Top 50 -> Document ID: tjp33y35 ; Score: 0.38253118610405246
Query ID: 7 ; Query: serological tests for coronavirus
Top 1 -> Document ID: 0y8lfjkx ; Score: 0.46516836374558285
Top 2 -> Document ID: j0z20rx5 ; Score: 0.4411453828877073
Top 3 -> Document ID: zkz55pmg ; Score: 0.4243719809863237
Top 4 -> Document ID: ekc1tkyt ; Score: 0.4169891998576727
Top 5 -> Document ID: mnshxou5 ; Score: 0.41697964036836144
Top 6 -> Document ID: 7d5q0g0s ; Score: 0.4130682563515869
Top 7 -> Document ID: zo9uzk52 ; Score: 0.409687580699442
Top 8 -> Document ID: 3g75spkc ; Score: 0.406851258547118
Top 9 -> Document ID: 39frq3ky ; Score: 0.4039920534467681
Top 10 -> Document ID: gbyyehbu ; Score: 0.4022914779020314
Top 11 -> Document ID: lxjhz079 ; Score: 0.4000006713798338
Top 12 -> Document ID: m7eonmga ; Score: 0.3947437798050223
Top 13 -> Document ID: hxial3gi ; Score: 0.3935663090022641
Top 14 -> Document ID: jubuq9tq ; Score: 0.39271969980572285
Top 15 -> Document ID: 5tb29n9s ; Score: 0.390091251494443
Top 16 -> Document ID: dopa8hxy ; Score: 0.3873068899015909
Top 17 -> Document ID: ybauyaed ; Score: 0.3871606521159302
Top 18 -> Document ID: udd26574 ; Score: 0.38681327568087714
Top 19 -> Document ID: 30gg2ab9 ; Score: 0.385718328042161
Top 20 -> Document ID: tjp33y35 ; Score: 0.37990910732951744
Top 21 -> Document ID: i7qltp3q ; Score: 0.3798047023822614
Top 22 -> Document ID: nna0s5mf ; Score: 0.3768960226474033
Top 23 -> Document ID: jhn26qt9 ; Score: 0.3767969388726933
Top 24 -> Document ID: g693adjd ; Score: 0.3752943710338787
Top 25 -> Document ID: apsj571t ; Score: 0.3738958884930838
Top 26 -> Document ID: eiobmxp2 ; Score: 0.3728003851907193
Top 27 -> Document ID: 18x4ann5 ; Score: 0.3702611813904706
Top 28 -> Document ID: 4xcxajlq ; Score: 0.3695847392844686
Top 29 -> Document ID: uomdh0sb ; Score: 0.36812364443032736
Top 30 -> Document ID: etpf0xk1 ; Score: 0.3678528943946632
Top 31 -> Document ID: pv6vnt0m ; Score: 0.366957368543064
Top 32 -> Document ID: j36vajdi ; Score: 0.3642471979839945
Top 33 -> Document ID: pzi2r37u ; Score: 0.3627330129089906
Top 34 -> Document ID: 5jtzt8um ; Score: 0.3623930767564638
Top 35 -> Document ID: k6wkpmpn ; Score: 0.36136589617707865
Top 36 -> Document ID: lwpzlhw2 ; Score: 0.3600914878038755
Top 37 -> Document ID: cfbs29qo ; Score: 0.35810559715418955
Top 38 -> Document ID: x6bryq9d ; Score: 0.3580607747801212
Top 39 -> Document ID: sprvon1t ; Score: 0.3574412137538302
Top 40 -> Document ID: 06boh550 ; Score: 0.3559476158725378
Top 41 -> Document ID: aeogp8c7 ; Score: 0.3557509239494036
Top 42 -> Document ID: ifdjyp5b ; Score: 0.3545661849482922
Top 43 -> Document ID: 602a2xdn ; Score: 0.3521850226421899
Top 44 -> Document ID: d2knbzhl ; Score: 0.3520822306610106
Top 45 -> Document ID: 576xiuz8 ; Score: 0.35201468720692586
Top 46 -> Document ID: 81knkem4 ; Score: 0.3492401436255873
Top 47 -> Document ID: jaue41mv ; Score: 0.34900224575991134
Top 48 -> Document ID: uxeb72ud ; Score: 0.3489095275206749
Top 49 -> Document ID: yo5ojr0s ; Score: 0.34725524610507835
Top 50 -> Document ID: 9q5ya4kt ; Score: 0.3469155291770438
Query ID: 8 ; Query: coronavirus under reporting
Top 1 -> Document ID: wzcaugst ; Score: 1.026436930026573
Top 2 -> Document ID: 63aoc5vp ; Score: 0.8149756115045497
Top 3 -> Document ID: uwj62cuv ; Score: 0.8087740232620145
Top 4 -> Document ID: 5bdoz5am ; Score: 0.7878681383607579
Top 5 -> Document ID: 0dac26xk ; Score: 0.7855631153553875
Top 6 -> Document ID: 1o5hi8qz ; Score: 0.7606772009043652
Top 7 -> Document ID: x6bryq9d ; Score: 0.7547445622764716
Top 8 -> Document ID: qrtdjtxj ; Score: 0.7510824208399527
Top 9 -> Document ID: pi6a2ql7 ; Score: 0.7377770262595295
Top 10 -> Document ID: nc05llre ; Score: 0.7335902030557775
Top 11 -> Document ID: 5tb29n9s ; Score: 0.7247192492645855
Top 12 -> Document ID: a70k298w ; Score: 0.713886601210226
Top 13 -> Document ID: lwpzlhw2 ; Score: 0.7119828669176874
Top 14 -> Document ID: 2lhqoi3f ; Score: 0.7072274865127265
Top 15 -> Document ID: fcki98sb ; Score: 0.7072274865127265
Top 16 -> Document ID: 27o9k5x3 ; Score: 0.7072274865127265
Top 17 -> Document ID: aeogp8c7 ; Score: 0.7034005837984891
Top 18 -> Document ID: l04kdkyk ; Score: 0.7025305865964006
Top 19 -> Document ID: igk6kj4r ; Score: 0.6999461910499283
Top 20 -> Document ID: 602a2xdn ; Score: 0.6963499849316859
Top 21 -> Document ID: d2knbzhl ; Score: 0.6961467417783901
Top 22 -> Document ID: 81knkem4 ; Score: 0.6905272885448486
Top 23 -> Document ID: pgn7tm8f ; Score: 0.6829795178434299
Top 24 -> Document ID: 5g2hnk1x ; Score: 0.6821827237835864
Top 25 -> Document ID: vkj9kjwx ; Score: 0.6787065616831953
Top 26 -> Document ID: xerpzx2i ; Score: 0.6744388641383832
Top 27 -> Document ID: 79v0hdi9 ; Score: 0.6646224833639308
Top 28 -> Document ID: ipoj13va ; Score: 0.6590214298939405
Top 29 -> Document ID: 02f0opkr ; Score: 0.6573696487716801
Top 30 -> Document ID: gnxbfcod ; Score: 0.6536559209198202
Top 31 -> Document ID: iomao9a7 ; Score: 0.6447545117323443
Top 32 -> Document ID: ssa59gng ; Score: 0.6438959275962001
Top 33 -> Document ID: sprvon1t ; Score: 0.643765729696802
Top 34 -> Document ID: k0te068l ; Score: 0.6431852539155489
Top 35 -> Document ID: knv0zd26 ; Score: 0.6413431994237845
Top 36 -> Document ID: hrb0shhg ; Score: 0.6395829333937662
Top 37 -> Document ID: 08ds967z ; Score: 0.6385514170748756
Top 38 -> Document ID: 9ai2bmqp ; Score: 0.6372832332409746
Top 39 -> Document ID: m7eonmga ; Score: 0.6368448075495792
Top 40 -> Document ID: kwq2y3il ; Score: 0.6366724035365524
Top 41 -> Document ID: zio8yhuy ; Score: 0.6363843988690606
Top 42 -> Document ID: 3luye7cx ; Score: 0.6352771908653105
Top 43 -> Document ID: jp8y1owf ; Score: 0.6351088040487688
Top 44 -> Document ID: v08cs51n ; Score: 0.6335579661890389
Top 45 -> Document ID: dvuhwz5m ; Score: 0.6334359665406951
Top 46 -> Document ID: yo5ojr0s ; Score: 0.6318745310229381
Top 47 -> Document ID: 5gt5r2uu ; Score: 0.6316781741029337
Top 48 -> Document ID: 0y8lfjkx ; Score: 0.6280557098889732
Top 49 -> Document ID: 57zdu3o2 ; Score: 0.6242337052422995
Top 50 -> Document ID: xdg5mkum ; Score: 0.6242211492554028
Query ID: 9 ; Query: coronavirus in Canada
Top 1 -> Document ID: jkzxjk54 ; Score: 0.4224286573012346
